ev-id,net,day,time,lat,lon,dept,RMS,d_la,d_lo,d_de,Ml,Ml,M,mode
"isor2013uatt","SI",2013-10-13,00:41:51.078,63.8072,-22.6504,3.35,0.070,0.52,0.42,0.71,1.44,1.62,1.50,"manual"
"isor2013uaub","SI",2013-10-13,00:51:30.853,63.8078,-22.6518,3.45,0.067,0.50,0.39,0.70,1.41,1.68,1.53,"manual"
"isor2013uaut","SI",2013-10-13,01:11:27.713,63.8189,-22.6217,3.29,0.059,0.49,0.33,0.48,1.79,2.02,1.88,"manual"
"isor2013uauv","SI",2013-10-13,01:14:26.307,63.8157,-22.6120,3.07,0.048,0.50,0.49,0.71,1.39,1.56,1.45,"manual"
"isor2013uavb","SI",2013-10-13,01:21:36.734,63.8145,-22.6297,3.35,0.055,0.55,0.56,0.62,1.21,1.39,1.27,"manual"
"isor2013uavj","SI",2013-10-13,01:30:37.590,63.8155,-22.6117,3.01,0.044,0.40,0.39,0.48,1.25,1.49,1.37,"manual"
"isor2013uavx","SI",2013-10-13,01:47:16.977,63.8116,-22.6271,3.19,0.053,0.44,0.29,0.50,1.94,2.27,2.06,"manual"
"isor2013uawe","SI",2013-10-13,01:55:36.734,63.8082,-22.6343,3.01,0.051,0.42,0.28,0.48,2.47,2.95,2.63,"manual"
"isor2013uawf","SI",2013-10-13,01:58:06.997,63.8151,-22.6272,3.62,0.054,0.45,0.38,0.45,1.58,1.69,1.59,"manual"
"isor2013uawg","SI",2013-10-13,01:56:27.657,63.8175,-22.6145,3.17,0.033,0.44,0.40,0.41,1.31,1.49,1.41,"manual"
"isor2013uawh","SI",2013-10-13,01:56:00.841,63.8074,-22.6355,3.01,0.056,0.44,0.34,0.49,1.40,1.68,1.53,"manual"
"isor2013uawi","SI",2013-10-13,01:56:57.501,63.8141,-22.6434,3.24,0.061,0.47,0.32,0.38,1.32,1.54,1.42,"manual"
"isor2013uawj","SI",2013-10-13,01:57:49.571,63.8074,-22.6361,3.22,0.057,0.47,0.36,0.50,1.62,1.78,1.70,"manual"
"isor2013uawk","SI",2013-10-13,02:02:39.568,63.8141,-22.6249,3.31,0.053,0.43,0.32,0.46,1.45,1.69,1.50,"manual"
"isor2013uawl","SI",2013-10-13,01:59:22.241,63.8106,-22.6343,3.07,0.055,0.44,0.47,0.61,1.31,1.44,1.37,"manual"
